Zeit;Kanal A
(ms);(V)

13,22455993;0,80204230
13,27446393;0,80204230
13,32436793;0,80204230
13,37427193;0,80204230
13,42417593;0,80204230
13,47407993;0,80204230
13,52398393;0,80204230
13,57388793;0,80204230
13,62379193;0,80204230
13,67369593;0,80204230
13,72359993;0,80204230
13,77350393;0,80204230
13,82340793;0,80204230
13,87331193;0,80204230
13,92321593;0,80204230
13,97311993;0,80204230
14,02302393;0,80204230
14,07292793;0,78334150
14,12283193;0,78334150
14,17273593;0,80204230
14,22263993;0,78334150
14,27254393;0,80204230
14,32244793;0,80204230
14,37235193;0,80204230
14,42225593;0,80204230
14,47215993;0,80204230
14,52206393;0,80204230
14,57196793;0,80204230
14,62187193;0,80204230
14,67177593;0,80204230
14,72167993;0,80204230
14,77158393;0,80204230
14,82148793;0,80204230
14,87139193;0,80204230
14,92129593;0,80204230
14,97119993;0,80204230
15,02110393;0,80204230
15,07100793;0,80204230
15,12091192;0,80204230
15,17081592;0,80204230
15,22071992;0,80204230
15,27062392;0,80204230
15,32052792;0,80204230
15,37043192;0,80204230
15,42033592;0,80204230
15,47023992;0,80204230
15,52014392;0,80204230
15,57004792;0,80204230
15,61995192;0,80204230
15,66985592;0,80204230
15,71975992;0,80204230
15,76966392;0,65280510
15,81956792;0,80204230
15,86947192;0,80204230
15,91937592;0,80204230
15,96927992;0,80204230
16,01918392;0,80204230
16,06908792;0,80204230
16,11899192;0,80204230
16,16889592;0,80204230
16,21879992;0,80204230
16,26870392;0,80204230
16,31860792;0,80204230
16,36851192;0,80204230
16,41841592;0,80204230
16,46831992;0,80204230
16,51822392;0,82068160
16,56812792;0,80204230
16,61803192;0,80204230
16,66793592;0,80204230
16,71783992;0,80204230
16,76774392;0,80204230
16,81764792;0,80204230
16,86755192;0,80204230
16,91745592;0,80204230
16,96735992;0,80204230
17,01726392;0,80204230
17,06716792;0,80204230
17,11707191;0,80204230
17,16697591;0,80204230
17,21687991;0,80204230
17,26678391;0,80204230
17,31668791;0,80204230
17,36659191;0,80204230
17,41649591;0,80204230
17,46639991;0,80204230
17,51630391;0,80204230
17,56620791;0,80204230
17,61611191;0,80204230
17,66601591;0,80204230
17,71591991;0,80204230
17,76582391;0,80204230
17,81572791;0,80204230
17,86563191;0,80204230
17,91553591;0,80204230
17,96543991;0,80204230
18,01534391;0,80204230
18,06524791;0,80204230
18,11515191;0,80204230
18,16505591;0,80204230
18,21495991;0,80204230
18,26486391;0,80204230
18,31476791;0,80204230
18,36467191;0,80204230
18,41457591;0,80204230
18,46447991;0,80204230
18,51438391;0,80204230
18,56428791;0,80204230
18,61419191;0,82068160
18,66409591;0,80204230
18,71399991;0,82068160
18,76390391;0,80204230
18,81380791;0,80204230
18,86371191;0,80204230
18,91361591;0,78334150
18,96351991;0,80204230
19,01342391;0,80204230
19,06332791;0,80204230
