Zeit;Kanal A
(ms);(V)

0,00000000;0,98855810
0,04990400;0,98855810
0,09980800;0,98855810
0,14971200;0,98855810
0,19961600;0,98855810
0,24952000;0,98855810
0,29942400;0,98855810
0,34932800;0,98855810
0,39923200;0,98855810
0,44913600;0,98855810
0,49904000;0,98855810
0,54894400;0,98855810
0,59884800;0,98855810
0,64875200;0,98855810
0,69865600;0,98855810
0,74856000;0,98855810
0,79846400;0,98855810
0,84836800;0,98855810
0,89827200;0,98855810
0,94817600;0,98855810
0,99808000;0,98855810
1,04798399;0,98855810
1,09788799;0,98855810
1,14779199;0,98855810
1,19769599;0,98855810
1,24759999;0,98855810
1,29750399;0,98855810
1,34740799;0,98855810
1,39731199;0,98855810
1,44721599;0,98855810
1,49711999;0,98855810
1,54702399;0,98855810
1,59692799;0,98855810
1,64683199;0,96985730
1,69673599;1,00719700
1,74663999;0,98855810
1,79654399;0,98855810
1,84644799;0,98855810
1,89635199;0,98855810
1,94625599;1,00719700
1,99615999;0,98855810
2,04606399;0,98855810
2,09596799;0,98855810
2,14587199;0,98855810
2,19577599;0,98855810
2,24567999;0,98855810
2,29558399;0,98855810
2,34548799;0,98855810
2,39539199;0,98855810
2,44529599;1,00719700
2,49519999;0,98855810
2,54510399;0,98855810
2,59500799;0,98855810
2,64491199;0,98855810
2,69481599;0,98855810
2,74471999;0,98855810
2,79462399;0,98855810
2,84452799;0,98855810
2,89443199;0,98855810
2,94433599;0,98855810
2,99423999;0,98855810
3,04414398;0,98855810
3,09404798;0,98855810
3,14395198;0,98855810
3,19385598;0,98855810
3,24375998;0,98855810
3,29366398;0,98855810
3,34356798;0,98855810
3,39347198;0,98855810
3,44337598;0,98855810
3,49327998;0,98855810
3,54318398;0,98855810
3,59308798;0,98855810
3,64299198;0,98855810
3,69289598;0,98855810
3,74279998;0,98855810
3,79270398;0,98855810
3,84260798;0,98855810
3,89251198;0,98855810
3,94241598;0,98855810
3,99231998;0,98855810
4,04222398;0,98855810
4,09212798;0,96985730
4,14203198;0,96985730
4,19193598;0,96985730
4,24183998;0,98855810
4,29174398;0,98855810
4,34164798;0,98855810
4,39155198;0,98855810
4,44145598;0,98855810
4,49135998;0,98855810
4,54126398;0,98855810
4,59116798;0,98855810
4,64107198;0,96985730
4,69097598;0,98855810
4,74087998;0,98855810
4,79078398;0,98855810
4,84068798;0,98855810
4,89059198;0,98855810
4,94049598;0,98855810
4,99039998;0,98855810
5,04030397;0,98855810
5,09020797;0,98855810
5,14011197;0,98855810
5,19001597;0,98855810
5,23991997;0,98855810
5,28982397;0,98855810
5,33972797;0,98855810
5,38963197;0,98855810
5,43953597;0,98855810
5,48943997;0,98855810
5,53934397;0,98855810
5,58924797;0,96985730
5,63915197;0,98855810
5,68905597;0,98855810
5,73895997;0,98855810
5,78886397;0,98855810
5,83876797;0,98855810
5,88867197;0,98855810
5,93857597;0,96985730
5,98847997;0,98855810
6,03838397;0,98855810
6,08828797;0,98855810
6,13819197;0,98855810
6,18809597;0,98855810
6,23799997;0,98855810
6,28790397;0,98855810
6,33780797;0,98855810
