Zeit (ms),Voltage
0.0,0.8020423
0.049952,0.8020423
0.099904,0.8020423
0.149856,0.8020423
0.199808,0.8020423
0.24976,0.8020423
0.299712,0.8206816
0.34966399,0.8206816
0.39961599,0.8020423
0.44956799,0.8206816
0.49951999,0.8020423
0.54947199,0.8020423
0.59942399,0.8020423
0.64937599,0.8020423
0.69932799,0.8020423
0.74927999,0.8020423
0.79923199,0.8020423
0.84918399,0.8020423
0.89913599,0.8020423
0.94908799,0.8020423
0.99903998,0.8020423
1.04899198,0.8020423
1.09894398,0.8020423
1.14889598,0.8020423
1.19884798,0.8020423
1.24879998,0.8020423
1.29875198,0.8020423
1.34870398,0.8020423
1.39865598,0.8020423
1.44860798,0.8020423
1.49855998,0.8020423
1.54851198,0.8020423
1.59846398,0.8020423
1.64841598,0.8020423
1.69836797,0.8020423
1.74831997,0.8020423
1.79827197,0.8020423
1.84822397,0.8020423
1.89817597,0.8020423
1.94812797,0.8020423
1.99807997,0.8020423
2.04803197,0.8020423
2.09798397,0.8020423
2.14793597,0.8020423
2.19788797,0.8020423
2.24783997,0.8020423
2.29779197,0.8020423
2.34774396,0.8020423
2.39769596,0.8020423
2.44764796,0.8020423
2.49759996,0.8020423
2.54755196,0.8020423
2.59750396,0.8020423
2.64745596,0.8020423
2.69740796,0.8020423
2.74735996,0.8020423
2.79731196,0.8020423
2.84726396,0.8020423
2.89721596,0.8020423
2.94716796,0.8206816
2.99711995,0.8020423
3.04707195,0.8020423
3.09702395,0.8020423
3.14697595,0.8020423
3.19692795,0.8020423
3.24687995,0.8020423
3.29683195,0.8020423
3.34678395,0.8020423
3.39673595,0.8020423
3.44668795,0.8020423
3.49663995,0.8020423
3.54659195,0.8020423
3.59654395,0.8020423
3.64649594,0.8020423
3.69644794,0.8020423
3.74639994,0.8020423
3.79635194,0.8020423
3.84630394,0.8020423
3.89625594,0.8020423
3.94620794,0.8020423
3.99615994,0.8020423
4.04611194,0.8020423
4.09606394,0.8020423
4.14601594,0.8020423
4.19596794,0.8020423
4.24591994,0.8020423
4.29587194,0.8020423
4.34582393,0.8020423
4.39577593,0.8020423
4.44572793,0.8020423
4.49567993,0.8020423
4.54563193,0.8020423
4.59558393,0.8020423
4.64553593,0.8020423
4.69548793,0.8020423
4.74543993,0.8020423
4.79539193,0.8020423
4.84534393,0.7833415
4.89529593,0.8020423
4.94524793,0.8020423
4.99519992,0.8020423
5.04515192,0.8020423
5.09510392,0.8020423
5.14505592,0.8020423
5.19500792,0.8020423
5.24495992,0.8020423
5.29491192,0.8020423
5.34486392,0.8020423
5.39481592,0.7833415
5.44476792,0.8020423
5.49471992,0.8020423
5.54467192,0.8020423
5.59462392,0.8020423
5.64457591,0.8020423
5.69452791,0.8020423
5.74447991,0.8020423
5.79443191,0.8020423
5.84438391,0.8020423
5.89433591,0.8020423
5.94428791,0.8020423
5.99423991,0.8020423
6.04419191,0.8020423
6.09414391,0.8020423
6.14409591,0.8020423
6.19404791,0.8020423
6.24399991,0.8020423
6.2939519,0.8020423
6.3439039,0.8020423
6.3938559,0.8020423
6.4438079,0.8020423
6.4937599,0.8020423
6.5437119,0.8020423
6.5936639,0.8020423
6.6436159,0.8020423
6.6935679,0.8020423
6.7435199,0.8020423
6.7934719,0.8020423
6.8434239,0.8020423
6.8933759,0.8020423
6.94332789,0.8020423
6.99327989,0.8020423
7.04323189,0.8020423
7.09318389,0.8020423
7.14313589,0.8020423
7.19308789,0.8020423
7.24303989,0.8020423
7.29299189,0.8020423
7.34294389,0.8020423
7.39289589,0.8020423
7.44284789,0.8020423
7.49279989,0.7833415
7.54275189,0.7833415
7.59270389,0.8020423
7.64265588,0.8020423
7.69260788,0.8020423
7.74255988,0.8020423
7.79251188,0.8020423
7.84246388,0.8020423
7.89241588,0.7833415
7.94236788,0.8020423
7.99231988,0.8020423
8.04227188,0.8020423
8.09222388,0.8020423
8.14217588,0.8020423
8.19212788,0.8020423
8.24207988,0.8020423
8.29203187,0.8020423
8.34198387,0.8020423
8.39193587,0.8020423
8.44188787,0.7833415
8.49183987,0.8020423
8.54179187,0.8020423
8.59174387,0.8020423
8.64169587,0.8020423
8.69164787,0.8020423
8.74159987,0.8020423
8.79155187,0.8020423
8.84150387,0.8020423
8.89145587,0.8020423
8.94140786,0.7833415
8.99135986,0.8020423
9.04131186,0.8020423
9.09126386,0.8020423
9.14121586,0.8020423
9.19116786,0.8206816
9.24111986,0.8020423
9.29107186,0.8020423
9.34102386,0.8020423
9.39097586,0.7833415
9.44092786,0.8020423
9.49087986,0.8020423
9.54083186,0.8020423
9.59078385,0.8020423
9.64073585,0.8020423
9.69068785,0.8020423
9.74063985,0.8020423
9.79059185,0.8020423
9.84054385,0.8020423
9.89049585,0.8020423
9.94044785,0.8020423
9.99039985,0.8020423
10.04035185,0.8020423
10.09030385,0.8020423
10.14025585,0.8020423
10.19020785,0.8020423
10.24015985,0.8020423
10.29011184,0.8020423
10.34006384,0.7833415
10.39001584,0.7833415
10.43996784,0.8020423
10.48991984,0.8393208
10.53987184,0.8020423
10.58982384,0.7833415
10.63977584,0.8020423
10.68972784,0.8020423
10.73967984,0.8020423
10.78963184,0.8020423
10.83958384,0.8020423
10.88953584,0.8020423
10.93948783,0.8020423
10.98943983,0.8020423
11.03939183,0.8020423
11.08934383,0.8020423
11.13929583,0.8020423
11.18924783,0.8020423
11.23919983,0.8020423
11.28915183,0.8020423
11.33910383,0.7833415
11.38905583,0.8020423
11.43900783,0.7833415
11.48895983,0.8020423
11.53891183,0.8020423
11.58886382,0.8020423
11.63881582,0.8020423
11.68876782,0.8020423
11.73871982,0.8020423
11.78867182,0.8020423
11.83862382,0.8020423
11.88857582,0.8020423
11.93852782,0.8020423
11.98847982,0.8020423
12.03843182,0.8020423
12.08838382,0.8020423
12.13833582,0.8020423
12.18828782,0.8020423
12.23823981,0.8020423
12.28819181,0.8020423
12.33814381,0.8020423
12.38809581,0.8020423
12.43804781,0.8020423
12.48799981,0.8020423
12.53795181,0.7833415
12.58790381,0.8020423
12.63785581,0.8020423
12.68780781,0.8020423
12.73775981,0.8020423
12.78771181,0.8020423
12.83766381,0.8020423
12.88761581,0.8020423
12.9375678,0.8020423
12.9875198,0.8020423
13.0374718,0.8020423
13.0874238,0.8020423
13.1373758,0.8020423
13.1873278,0.8206816
13.2372798,0.8020423
13.2872318,0.8020423
13.3371838,0.8020423
13.3871358,0.8020423
13.4370878,0.8020423
13.4870398,0.8020423
13.5369918,0.8020423
13.58694379,0.8020423
13.63689579,0.8020423
13.68684779,0.8020423
13.73679979,0.8020423
13.78675179,0.8020423
13.83670379,0.8020423
13.88665579,0.8020423
13.93660779,0.8020423
13.98655979,0.8020423
14.03651179,0.8020423
14.08646379,0.8020423
14.13641579,0.7647023
14.18636779,0.8020423
14.23631978,0.8020423
14.28627178,0.8020423
14.33622378,0.8020423
14.38617578,0.8020423
14.43612778,0.7833415
14.48607978,0.8020423
14.53603178,0.8020423
14.58598378,0.8020423
14.63593578,0.8020423
14.68588778,0.8020423
14.73583978,0.8020423
14.78579178,0.8020423
14.83574378,0.8020423
14.88569577,0.8020423
14.93564777,0.8020423
14.98559977,0.8020423
15.03555177,0.8020423
15.08550377,0.8020423
15.13545577,0.8020423
15.18540777,0.8020423
15.23535977,0.8020423
15.28531177,0.8020423
15.33526377,0.7833415
15.38521577,0.8020423
15.43516777,0.8020423
15.48511977,0.8020423
15.53507177,0.8020423
15.58502376,0.8020423
15.63497576,0.8020423
15.68492776,0.8020423
15.73487976,0.8020423
15.78483176,0.8020423
15.83478376,0.8020423
15.88473576,0.8020423
15.93468776,0.7833415
15.98463976,0.8206816
16.03459176,0.8020423
16.08454376,0.8020423
16.13449576,0.8020423
16.18444776,0.8020423
16.23439975,0.8020423
16.28435175,0.8020423
16.33430375,0.8020423
16.38425575,0.8020423
16.43420775,0.8020423
16.48415975,0.8020423
16.53411175,0.8020423
16.58406375,0.8020423
16.63401575,0.8020423
16.68396775,0.8020423
16.73391975,0.8020423
16.78387175,0.8020423
16.83382375,0.8020423
16.88377574,0.8020423
16.93372774,0.8020423
16.98367974,0.8020423
17.03363174,0.8020423
17.08358374,0.8020423
17.13353574,0.8020423
17.18348774,0.8020423
17.23343974,0.8020423
17.28339174,0.8020423
17.33334374,0.8020423
17.38329574,0.8020423
17.43324774,0.8020423
17.48319974,0.8020423
17.53315173,0.8020423
17.58310373,0.8020423
17.63305573,0.8020423
17.68300773,0.8020423
17.73295973,0.8020423
17.78291173,0.8020423
17.83286373,0.8020423
17.88281573,0.8020423
17.93276773,0.8020423
17.98271973,0.8020423
18.03267173,0.8020423
18.08262373,0.8020423
18.13257573,0.8020423
18.18252773,0.8020423
18.23247972,0.8020423
18.28243172,0.8020423
18.33238372,0.8020423
18.38233572,0.8020423
18.43228772,0.8020423
18.48223972,0.8020423
18.53219172,0.8020423
18.58214372,0.8020423
18.63209572,0.8020423
18.68204772,0.8020423
18.73199972,0.8020423
18.78195172,0.8020423
18.83190372,0.8020423
18.88185571,0.7833415
18.93180771,0.8020423
18.98175971,0.8020423
19.03171171,0.8020423
19.08166371,0.8020423
19.13161571,0.8020423
19.18156771,0.8020423
19.23151971,0.8020423
19.28147171,0.8020423
19.33142371,0.8020423
19.38137571,0.8020423
19.43132771,0.8020423
19.48127971,0.8020423
19.5312317,0.8020423
19.5811837,0.8020423
19.6311357,0.8020423
19.6810877,0.8020423
19.7310397,0.8020423
19.7809917,0.8020423
19.8309437,0.8020423
19.8808957,0.8020423
19.9308477,0.8020423
19.9807997,0.8020423
20.0307517,0.8020423
20.0807037,0.8020423
20.1306557,0.8020423
20.18060769,0.8020423
20.23055969,0.8020423
20.28051169,0.8020423
20.33046369,0.8020423
20.38041569,0.8020423
20.43036769,0.8020423
20.48031969,0.8020423
20.53027169,0.8020423
20.58022369,0.8020423
20.63017569,0.8020423
20.68012769,0.8020423
20.73007969,0.7833415
20.78003169,0.8020423
20.82998368,0.8020423
20.87993568,0.8206816
20.92988768,0.8020423
20.97983968,0.8020423
21.02979168,0.8020423
21.07974368,0.8020423
21.12969568,0.8020423
21.17964768,0.8020423
21.22959968,0.8020423
21.27955168,0.8020423
21.32950368,0.8020423
21.37945568,0.8020423
21.42940768,0.8020423
21.47935968,0.8020423
21.52931167,0.8020423
21.57926367,0.8020423
21.62921567,0.8020423
21.67916767,0.8020423
21.72911967,0.8020423
21.77907167,0.8020423
21.82902367,0.8020423
21.87897567,0.8020423
21.92892767,0.8020423
21.97887967,0.8020423
22.02883167,0.8020423
22.07878367,0.8020423
22.12873567,0.8020423
22.17868766,0.8020423
22.22863966,0.8020423
22.27859166,0.8020423
22.32854366,0.8020423
22.37849566,0.8020423
22.42844766,0.8020423
22.47839966,0.8020423
22.52835166,0.8020423
22.57830366,0.8020423
22.62825566,0.8020423
22.67820766,0.8020423
22.72815966,0.8020423
22.77811166,0.8020423
22.82806365,0.8020423
22.87801565,0.8020423
22.92796765,0.8020423
22.97791965,0.8020423
23.02787165,0.8020423
23.07782365,0.8020423
23.12777565,0.8020423
23.17772765,0.8020423
23.22767965,0.8020423
23.27763165,0.8020423
23.32758365,0.8020423
