Zeit (ms),Voltage
0.0,0.9885581
0.049904,0.9885581
0.099808,0.9885581
0.149712,0.9885581
0.199616,0.9885581
0.24952,0.9885581
0.299424,0.9885581
0.349328,0.9885581
0.399232,0.9885581
0.449136,0.9885581
0.49904,0.9885581
0.548944,0.9885581
0.598848,0.9885581
0.648752,0.9885581
0.698656,0.9885581
0.74856,0.9885581
0.798464,0.9885581
0.848368,0.9885581
0.898272,0.9885581
0.948176,0.9885581
0.99808,0.9885581
1.04798399,0.9885581
1.09788799,0.9885581
1.14779199,0.9885581
1.19769599,0.9885581
1.24759999,0.9885581
1.29750399,0.9885581
1.34740799,0.9885581
1.39731199,0.9885581
1.44721599,0.9885581
1.49711999,0.9885581
1.54702399,0.9885581
1.59692799,0.9885581
1.64683199,0.9698573
1.69673599,1.007197
1.74663999,0.9885581
1.79654399,0.9885581
1.84644799,0.9885581
1.89635199,0.9885581
1.94625599,1.007197
1.99615999,0.9885581
2.04606399,0.9885581
2.09596799,0.9885581
2.14587199,0.9885581
2.19577599,0.9885581
2.24567999,0.9885581
2.29558399,0.9885581
2.34548799,0.9885581
2.39539199,0.9885581
2.44529599,1.007197
2.49519999,0.9885581
2.54510399,0.9885581
2.59500799,0.9885581
2.64491199,0.9885581
2.69481599,0.9885581
2.74471999,0.9885581
2.79462399,0.9885581
2.84452799,0.9885581
2.89443199,0.9885581
2.94433599,0.9885581
2.99423999,0.9885581
3.04414398,0.9885581
3.09404798,0.9885581
3.14395198,0.9885581
3.19385598,0.9885581
3.24375998,0.9885581
3.29366398,0.9885581
3.34356798,0.9885581
3.39347198,0.9885581
3.44337598,0.9885581
3.49327998,0.9885581
3.54318398,0.9885581
3.59308798,0.9885581
3.64299198,0.9885581
3.69289598,0.9885581
3.74279998,0.9885581
3.79270398,0.9885581
3.84260798,0.9885581
3.89251198,0.9885581
3.94241598,0.9885581
3.99231998,0.9885581
4.04222398,0.9885581
4.09212798,0.9698573
4.14203198,0.9698573
4.19193598,0.9698573
4.24183998,0.9885581
4.29174398,0.9885581
4.34164798,0.9885581
4.39155198,0.9885581
4.44145598,0.9885581
4.49135998,0.9885581
4.54126398,0.9885581
4.59116798,0.9885581
4.64107198,0.9698573
4.69097598,0.9885581
4.74087998,0.9885581
4.79078398,0.9885581
4.84068798,0.9885581
4.89059198,0.9885581
4.94049598,0.9885581
4.99039998,0.9885581
5.04030397,0.9885581
5.09020797,0.9885581
5.14011197,0.9885581
5.19001597,0.9885581
5.23991997,0.9885581
5.28982397,0.9885581
5.33972797,0.9885581
5.38963197,0.9885581
5.43953597,0.9885581
5.48943997,0.9885581
5.53934397,0.9885581
5.58924797,0.9698573
5.63915197,0.9885581
5.68905597,0.9885581
5.73895997,0.9885581
5.78886397,0.9885581
5.83876797,0.9885581
5.88867197,0.9885581
5.93857597,0.9698573
5.98847997,0.9885581
6.03838397,0.9885581
6.08828797,0.9885581
6.13819197,0.9885581
6.18809597,0.9885581
6.23799997,0.9885581
6.28790397,0.9885581
6.33780797,0.9885581
6.38771197,0.9885581
6.43761597,0.9885581
6.48751997,0.9885581
6.53742397,0.9885581
6.58732797,0.9885581
6.63723197,0.9885581
6.68713597,0.9885581
6.73703997,0.9885581
6.78694397,0.9885581
6.83684797,0.9885581
6.88675197,0.9885581
6.93665597,0.9885581
6.98655997,0.9885581
7.03646397,0.9885581
7.08636796,0.9885581
7.13627196,0.9885581
7.18617596,0.9885581
7.23607996,0.9885581
7.28598396,0.9885581
7.33588796,0.9885581
7.38579196,0.9885581
7.43569596,0.9885581
7.48559996,0.9885581
7.53550396,0.9885581
7.58540796,0.9885581
7.63531196,0.9885581
7.68521596,0.9885581
7.73511996,0.9885581
7.78502396,0.9885581
7.83492796,0.9885581
7.88483196,0.9885581
7.93473596,0.9885581
7.98463996,0.9885581
8.03454396,0.9885581
8.08444796,0.9885581
8.13435196,0.9885581
8.18425596,0.9885581
8.23415996,0.9885581
8.28406396,0.9885581
8.33396796,0.9885581
8.38387196,0.9885581
8.43377596,0.9885581
8.48367996,0.9885581
8.53358396,0.9885581
8.58348796,0.9885581
8.63339196,0.9885581
8.68329596,0.9885581
8.73319996,0.9885581
8.78310396,0.9885581
8.83300796,0.9885581
8.88291196,0.9885581
8.93281596,0.9885581
8.98271996,0.9885581
9.03262396,0.9885581
9.08252795,0.9885581
9.13243195,0.9885581
9.18233595,0.9885581
9.23223995,0.9885581
9.28214395,0.9885581
9.33204795,0.951218
9.38195195,0.9885581
9.43185595,0.9885581
9.48175995,0.9885581
9.53166395,0.9885581
9.58156795,0.9885581
9.63147195,0.9885581
9.68137595,0.9885581
9.73127995,0.9885581
9.78118395,0.9885581
9.83108795,0.9885581
9.88099195,0.9885581
9.93089595,0.9885581
9.98079995,0.9885581
10.03070395,0.9885581
10.08060795,0.9885581
10.13051195,0.9885581
10.18041595,0.9885581
10.23031995,0.9885581
10.28022395,0.9885581
10.33012795,0.9885581
10.38003195,0.9885581
10.42993595,0.9885581
10.47983995,0.9885581
10.52974395,0.9698573
10.57964795,0.9885581
10.62955195,0.9885581
10.67945595,0.9885581
10.72935995,0.9885581
10.77926395,0.9885581
10.82916795,0.9885581
