Zeit (ms),Voltage
0.0,0.6341658
0.049952,0.6528051
0.099904,0.6528051
0.149856,0.6528051
0.199808,0.6528051
0.24976,0.6528051
0.299712,0.6528051
0.34966399,0.6528051
0.39961599,0.6528051
0.44956799,0.6341658
0.49951999,0.6341658
0.54947199,0.6341658
0.59942399,0.6341658
0.64937599,0.6341658
0.69932799,0.6528051
0.74927999,0.6341658
0.79923199,0.6528051
0.84918399,0.6528051
0.89913599,0.6341658
0.94908799,0.6341658
0.99903998,0.6528051
1.04899198,0.6341658
1.09894398,0.6528051
1.14889598,0.6528051
1.19884798,0.6528051
1.24879998,0.6528051
1.29875198,0.6528051
1.34870398,0.6341658
1.39865598,0.6528051
1.44860798,0.6341658
1.49855998,0.6341658
1.54851198,0.6341658
1.59846398,0.6341658
1.64841598,0.6528051
1.69836797,0.6528051
1.74831997,0.6341658
1.79827197,0.6528051
1.84822397,0.6341658
1.89817597,0.6341658
1.94812797,0.6341658
1.99807997,0.6341658
2.04803197,0.6528051
2.09798397,0.6341658
2.14793597,0.6528051
2.19788797,0.6528051
2.24783997,0.6528051
2.29779197,0.6528051
2.34774396,0.6341658
2.39769596,0.6341658
2.44764796,0.6341658
2.49759996,0.6341658
2.54755196,0.6341658
2.59750396,0.6341658
2.64745596,0.6341658
2.69740796,0.6528051
2.74735996,0.6341658
2.79731196,0.6341658
2.84726396,0.6341658
2.89721596,0.6528051
2.94716796,0.6528051
2.99711995,0.6341658
3.04707195,0.6528051
3.09702395,0.6528051
3.14697595,0.6528051
3.19692795,0.6528051
3.24687995,0.6528051
3.29683195,0.6341658
3.34678395,0.6528051
3.39673595,0.6528051
3.44668795,0.6341658
3.49663995,0.6528051
3.54659195,0.6341658
3.59654395,0.6341658
3.64649594,0.6528051
3.69644794,0.6341658
3.74639994,0.6341658
3.79635194,0.6528051
3.84630394,0.6528051
3.89625594,0.6341658
3.94620794,0.6528051
3.99615994,0.6341658
4.04611194,0.6341658
4.09606394,0.6528051
4.14601594,0.6341658
4.19596794,0.6341658
4.24591994,0.6528051
4.29587194,0.6341658
4.34582393,0.6341658
4.39577593,0.6341658
4.44572793,0.6528051
4.49567993,0.6341658
4.54563193,0.6528051
4.59558393,0.6341658
4.64553593,0.6341658
4.69548793,0.6528051
4.74543993,0.6528051
4.79539193,0.6528051
4.84534393,0.6341658
4.89529593,0.6341658
4.94524793,0.6528051
4.99519992,0.6528051
5.04515192,0.6528051
5.09510392,0.6528051
5.14505592,0.6528051
5.19500792,0.6528051
5.24495992,0.6528051
5.29491192,0.6528051
5.34486392,0.6528051
5.39481592,0.6341658
5.44476792,0.6341658
5.49471992,0.6341658
5.54467192,0.6341658
5.59462392,0.6528051
5.64457591,0.6341658
5.69452791,0.6341658
5.74447991,0.6341658
5.79443191,0.6528051
5.84438391,0.6528051
5.89433591,0.6528051
5.94428791,0.6341658
5.99423991,0.6528051
6.04419191,0.6528051
6.09414391,0.6341658
6.14409591,0.6528051
6.19404791,0.6528051
6.24399991,0.6528051
6.2939519,0.6528051
6.3439039,0.6528051
6.3938559,0.6528051
6.4438079,0.6341658
6.4937599,0.6341658
6.5437119,0.6341658
6.5936639,0.6341658
6.6436159,0.6341658
6.6935679,0.6528051
6.7435199,0.6341658
6.7934719,0.6341658
6.8434239,0.6528051
6.8933759,0.6528051
6.94332789,0.6528051
6.99327989,0.6341658
7.04323189,0.6528051
7.09318389,0.6528051
7.14313589,0.6528051
7.19308789,0.6528051
7.24303989,0.6528051
7.29299189,0.6341658
7.34294389,0.6341658
7.39289589,0.6528051
7.44284789,0.6341658
7.49279989,0.6528051
7.54275189,0.6528051
7.59270389,0.6341658
7.64265588,0.6341658
7.69260788,0.6341658
7.74255988,0.6528051
7.79251188,0.6341658
7.84246388,0.6341658
7.89241588,0.6341658
7.94236788,0.6341658
7.99231988,0.6341658
8.04227188,0.6341658
8.09222388,0.6528051
8.14217588,0.6528051
8.19212788,0.6528051
8.24207988,0.6528051
8.29203187,0.6341658
8.34198387,0.6341658
8.39193587,0.6341658
8.44188787,0.6341658
8.49183987,0.6528051
8.54179187,0.6341658
8.59174387,0.6341658
8.64169587,0.6341658
8.69164787,0.6341658
8.74159987,0.6341658
8.79155187,0.6341658
8.84150387,0.6528051
8.89145587,0.6341658
8.94140786,0.6341658
8.99135986,0.6528051
9.04131186,0.6528051
9.09126386,0.6528051
9.14121586,0.6528051
9.19116786,0.6528051
9.24111986,0.6341658
9.29107186,0.6528051
9.34102386,0.6341658
9.39097586,0.6341658
9.44092786,0.6528051
9.49087986,0.6714444
9.54083186,0.6341658
9.59078385,0.6528051
9.64073585,0.6341658
9.69068785,0.6528051
9.74063985,0.6341658
9.79059185,0.6528051
9.84054385,0.6528051
9.89049585,0.6341658
9.94044785,0.6528051
9.99039985,0.6528051
10.04035185,0.6528051
10.09030385,0.6528051
10.14025585,0.6528051
10.19020785,0.6528051
10.24015985,0.6341658
10.29011184,0.6341658
10.34006384,0.6528051
10.39001584,0.6341658
10.43996784,0.6341658
10.48991984,0.6341658
10.53987184,0.6341658
10.58982384,0.6341658
10.63977584,0.6528051
10.68972784,0.6341658
10.73967984,0.6528051
10.78963184,0.6528051
10.83958384,0.6528051
10.88953584,0.6528051
10.93948783,0.6341658
10.98943983,0.6341658
11.03939183,0.6341658
11.08934383,0.6528051
11.13929583,0.6528051
11.18924783,0.6528051
11.23919983,0.6341658
11.28915183,0.6528051
11.33910383,0.6341658
11.38905583,0.6528051
11.43900783,0.6341658
11.48895983,0.6341658
11.53891183,0.6341658
11.58886382,0.6528051
11.63881582,0.6528051
11.68876782,0.6341658
11.73871982,0.6341658
11.78867182,0.6341658
11.83862382,0.6528051
11.88857582,0.6528051
11.93852782,0.6341658
11.98847982,0.6528051
12.03843182,0.6528051
12.08838382,0.6528051
12.13833582,0.6528051
12.18828782,0.6528051
12.23823981,0.6528051
12.28819181,0.6341658
12.33814381,0.6341658
12.38809581,0.6341658
12.43804781,0.6341658
12.48799981,0.6341658
12.53795181,0.6341658
12.58790381,0.6528051
12.63785581,0.6528051
12.68780781,0.6528051
12.73775981,0.6528051
12.78771181,0.6341658
12.83766381,0.6341658
12.88761581,0.6528051
12.9375678,0.6341658
12.9875198,0.6528051
13.0374718,0.6341658
13.0874238,0.6528051
13.1373758,0.6528051
13.1873278,0.6528051
13.2372798,0.6341658
13.2872318,0.6341658
13.3371838,0.6341658
13.3871358,0.6341658
13.4370878,0.6341658
13.4870398,0.6528051
13.5369918,0.6341658
13.58694379,0.6341658
13.63689579,0.6528051
13.68684779,0.6341658
13.73679979,0.6341658
13.78675179,0.6528051
13.83670379,0.6528051
13.88665579,0.6528051
13.93660779,0.6528051
13.98655979,0.6528051
14.03651179,0.6528051
14.08646379,0.6528051
14.13641579,0.6528051
14.18636779,0.6341658
14.23631978,0.6341658
14.28627178,0.6341658
14.33622378,0.6341658
14.38617578,0.6341658
14.43612778,0.6341658
14.48607978,0.6528051
14.53603178,0.6341658
14.58598378,0.6528051
14.63593578,0.6341658
14.68588778,0.6528051
14.73583978,0.6528051
14.78579178,0.6341658
14.83574378,0.6528051
14.88569577,0.6341658
14.93564777,0.6528051
14.98559977,0.6528051
15.03555177,0.6528051
15.08550377,0.6528051
15.13545577,0.6528051
15.18540777,0.6341658
15.23535977,0.6341658
15.28531177,0.6528051
15.33526377,0.6341658
15.38521577,0.6528051
15.43516777,0.6341658
15.48511977,0.6341658
15.53507177,0.6528051
15.58502376,0.6528051
15.63497576,0.6341658
15.68492776,0.6341658
15.73487976,0.6341658
15.78483176,0.6341658
15.83478376,0.6341658
15.88473576,0.6528051
15.93468776,0.6528051
15.98463976,0.6528051
16.03459176,0.6528051
16.08454376,0.6528051
16.13449576,0.6528051
16.18444776,0.6341658
16.23439975,0.6341658
16.28435175,0.6341658
16.33430375,0.6341658
16.38425575,0.6528051
16.43420775,0.6341658
16.48415975,0.6341658
16.53411175,0.6341658
16.58406375,0.6341658
16.63401575,0.6528051
16.68396775,0.6528051
16.73391975,0.6528051
16.78387175,0.6341658
16.83382375,0.6341658
16.88377574,0.6528051
16.93372774,0.6341658
16.98367974,0.6528051
17.03363174,0.6528051
17.08358374,0.6341658
17.13353574,0.6341658
17.18348774,0.6528051
17.23343974,0.6341658
17.28339174,0.6341658
17.33334374,0.6528051
17.38329574,0.6341658
17.43324774,0.6341658
17.48319974,0.6528051
17.53315173,0.6528051
17.58310373,0.6341658
17.63305573,0.6528051
17.68300773,0.6528051
17.73295973,0.6528051
17.78291173,0.6528051
17.83286373,0.6528051
17.88281573,0.6528051
17.93276773,0.6528051
17.98271973,0.6528051
18.03267173,0.6528051
18.08262373,0.6341658
18.13257573,0.6528051
18.18252773,0.6341658
18.23247972,0.6528051
18.28243172,0.6528051
18.33238372,0.6341658
18.38233572,0.6341658
18.43228772,0.6341658
18.48223972,0.6341658
18.53219172,0.6528051
18.58214372,0.6341658
18.63209572,0.6341658
18.68204772,0.6341658
18.73199972,0.6528051
18.78195172,0.6341658
18.83190372,0.6528051
18.88185571,0.6528051
18.93180771,0.6341658
18.98175971,0.6528051
19.03171171,0.6528051
19.08166371,0.6528051
19.13161571,0.6341658
19.18156771,0.6341658
19.23151971,0.6341658
19.28147171,0.6341658
19.33142371,0.6341658
19.38137571,0.6341658
19.43132771,0.6528051
19.48127971,0.6341658
19.5312317,0.6341658
19.5811837,0.6528051
19.6311357,0.6714444
19.6810877,0.6341658
19.7310397,0.6528051
19.7809917,0.6528051
19.8309437,0.6341658
19.8808957,0.6528051
19.9308477,0.6528051
19.9807997,0.6528051
20.0307517,0.6528051
20.0807037,0.6528051
20.1306557,0.6528051
20.18060769,0.6341658
20.23055969,0.6341658
20.28051169,0.6341658
20.33046369,0.6341658
20.38041569,0.6341658
20.43036769,0.6528051
20.48031969,0.6528051
20.53027169,0.6341658
20.58022369,0.6528051
20.63017569,0.6341658
20.68012769,0.6341658
20.73007969,0.6341658
20.78003169,0.6341658
20.82998368,0.6341658
20.87993568,0.6528051
20.92988768,0.6528051
20.97983968,0.6528051
21.02979168,0.6528051
21.07974368,0.6528051
21.12969568,0.6341658
21.17964768,0.6341658
21.22959968,0.6341658
21.27955168,0.6528051
21.32950368,0.6341658
21.37945568,0.6341658
21.42940768,0.6341658
21.47935968,0.6528051
21.52931167,0.6528051
21.57926367,0.6528051
21.62921567,0.6528051
21.67916767,0.6528051
21.72911967,0.6528051
21.77907167,0.6528051
21.82902367,0.6528051
21.87897567,0.6528051
21.92892767,0.6528051
21.97887967,0.6528051
22.02883167,0.6341658
22.07878367,0.6341658
22.12873567,0.6528051
22.17868766,0.6341658
22.22863966,0.6341658
22.27859166,0.6341658
22.32854366,0.6341658
22.37849566,0.6528051
22.42844766,0.6341658
22.47839966,0.6528051
22.52835166,0.6528051
22.57830366,0.6528051
22.62825566,0.6341658
22.67820766,0.6528051
22.72815966,0.6714444
22.77811166,0.6528051
22.82806365,0.6341658
22.87801565,0.6528051
22.92796765,0.6528051
22.97791965,0.6341658
23.02787165,0.6528051
23.07782365,0.6341658
23.12777565,0.6341658
23.17772765,0.6341658
23.22767965,0.6528051
23.27763165,0.6528051
23.32758365,0.6341658
23.37753565,0.6341658
23.42748765,0.6528051
23.47743964,0.6528051
23.52739164,0.6341658
23.57734364,0.6341658
23.62729564,0.6528051
23.67724764,0.6341658
23.72719964,0.6341658
23.77715164,0.6528051
23.82710364,0.6528051
23.87705564,0.6528051
23.92700764,0.6528051
23.97695964,0.6528051
24.02691164,0.6341658
24.07686364,0.6341658
24.12681564,0.6341658
24.17676763,0.6341658
24.22671963,0.6341658
24.27667163,0.6341658
24.32662363,0.6341658
24.37657563,0.6341658
24.42652763,0.6528051
24.47647963,0.6528051
24.52643163,0.6341658
24.57638363,0.6528051
24.62633563,0.6341658
24.67628763,0.6341658
24.72623963,0.6528051
