Zeit (ms),Voltage
0.0,1.063177
0.05,1.063177
0.1,1.063177
0.15,1.063177
0.19999999,1.063177
0.24999999,1.063177
0.29999999,1.063177
0.34999999,1.063177
0.39999999,1.063177
0.44999999,1.063177
0.49999999,1.081816
0.54999999,1.063177
0.59999998,1.063177
0.64999998,1.063177
0.69999998,1.044476
0.74999998,1.063177
0.79999998,1.044476
0.84999998,1.063177
0.89999998,1.063177
0.94999998,1.063177
0.99999997,1.063177
1.04999997,1.063177
1.09999997,1.063177
1.14999997,1.063177
1.19999997,1.063177
1.24999997,1.063177
1.29999997,1.063177
1.34999997,1.063177
1.39999996,1.063177
1.44999996,1.063177
1.49999996,1.063177
1.54999996,1.063177
1.59999996,1.063177
1.64999996,1.081816
1.69999996,1.063177
1.74999996,1.063177
1.79999995,1.063177
1.84999995,1.063177
1.89999995,1.063177
1.94999995,1.063177
1.99999995,1.063177
2.04999995,1.063177
2.09999995,1.063177
2.14999995,1.063177
2.19999994,1.063177
2.24999994,1.063177
2.29999994,1.063177
2.34999994,1.063177
2.39999994,1.063177
2.44999994,1.063177
2.49999994,1.063177
2.54999994,1.063177
2.59999993,1.063177
2.64999993,1.063177
2.69999993,1.063177
2.74999993,1.063177
2.79999993,1.063177
2.84999993,1.063177
2.89999993,1.063177
2.94999993,1.063177
2.99999992,1.063177
3.04999992,1.063177
3.09999992,1.063177
3.14999992,1.063177
3.19999992,1.063177
3.24999992,1.063177
3.29999992,1.063177
3.34999992,1.063177
3.39999991,1.063177
3.44999991,1.063177
3.49999991,1.063177
3.54999991,1.063177
3.59999991,1.063177
3.64999991,1.063177
3.69999991,1.063177
3.74999991,1.063177
3.7999999,1.063177
3.8499999,1.063177
3.8999999,1.063177
3.9499999,1.063177
3.9999999,1.063177
4.0499999,1.063177
4.0999999,1.063177
4.1499999,1.063177
4.19999989,1.063177
4.24999989,1.063177
4.29999989,1.063177
4.34999989,1.063177
4.39999989,1.063177
4.44999989,1.063177
4.49999989,1.063177
4.54999989,1.063177
4.59999988,1.063177
4.64999988,1.063177
4.69999988,1.063177
4.74999988,1.063177
4.79999988,1.063177
4.84999988,1.063177
4.89999988,1.063177
4.94999987,1.063177
4.99999987,1.063177
5.04999987,1.063177
5.09999987,1.063177
5.14999987,1.081816
5.19999987,1.063177
5.24999987,1.063177
5.29999987,1.063177
5.34999986,1.063177
5.39999986,1.063177
5.44999986,1.063177
5.49999986,1.063177
5.54999986,1.044476
5.59999986,1.063177
5.64999986,1.063177
5.69999986,1.063177
5.74999985,1.063177
5.79999985,1.063177
5.84999985,1.063177
5.89999985,1.063177
5.94999985,1.063177
5.99999985,1.081816
6.04999985,1.063177
6.09999985,1.063177
6.14999984,1.063177
6.19999984,1.063177
6.24999984,1.063177
6.29999984,1.063177
6.34999984,1.063177
6.39999984,1.063177
6.44999984,1.063177
6.49999984,1.063177
6.54999983,1.063177
6.59999983,1.063177
6.64999983,1.063177
6.69999983,1.063177
6.74999983,1.044476
6.79999983,1.063177
6.84999983,1.063177
6.89999983,1.063177
6.94999982,1.063177
6.99999982,1.063177
7.04999982,1.063177
7.09999982,1.063177
7.14999982,1.063177
7.19999982,1.063177
7.24999982,1.063177
7.29999982,1.063177
7.34999981,1.063177
7.39999981,1.063177
7.44999981,1.063177
7.49999981,1.063177
7.54999981,1.063177
7.59999981,1.063177
7.64999981,1.063177
7.69999981,1.063177
7.7499998,1.063177
7.7999998,1.063177
7.8499998,1.063177
7.8999998,1.063177
7.9499998,1.044476
7.9999998,1.063177
8.0499998,1.063177
