Zeit (ms),Voltage
0.0,0.9139395
0.049952,0.9139395
0.099904,0.8953002
0.149856,0.9139395
0.199808,0.9139395
0.24976,0.9139395
0.299712,0.9139395
0.34966399,0.9139395
0.39961599,0.9139395
0.44956799,0.9139395
0.49951999,0.9139395
0.54947199,0.9139395
0.59942399,0.9139395
0.64937599,0.9139395
0.69932799,0.9139395
0.74927999,0.9139395
0.79923199,0.9139395
0.84918399,0.9139395
0.89913599,0.9139395
0.94908799,0.9139395
0.99903998,0.9139395
1.04899198,0.9139395
1.09894398,0.9139395
1.14889598,0.9139395
1.19884798,0.8953002
1.24879998,0.9139395
1.29875198,0.8953002
1.34870398,0.9139395
1.39865598,0.9139395
1.44860798,0.9139395
1.49855998,0.9139395
1.54851198,0.9139395
1.59846398,0.9139395
1.64841598,0.8953002
1.69836797,0.9139395
1.74831997,0.9139395
1.79827197,0.9139395
1.84822397,0.9139395
1.89817597,0.9139395
1.94812797,0.8953002
1.99807997,0.8953002
2.04803197,0.9139395
2.09798397,0.9139395
2.14793597,0.9139395
2.19788797,0.9325787
2.24783997,0.9139395
2.29779197,0.8953002
2.34774396,0.9139395
2.39769596,0.9139395
2.44764796,0.9139395
2.49759996,0.9139395
2.54755196,0.9139395
2.59750396,0.9139395
2.64745596,0.9139395
2.69740796,0.9139395
2.74735996,0.9139395
2.79731196,0.9139395
2.84726396,0.9139395
2.89721596,0.9139395
2.94716796,0.9139395
2.99711995,0.8953002
3.04707195,0.9139395
3.09702395,0.9139395
3.14697595,0.9139395
3.19692795,0.9139395
3.24687995,0.9139395
3.29683195,0.8953002
3.34678395,0.8953002
3.39673595,0.9139395
3.44668795,0.9139395
3.49663995,0.9139395
3.54659195,0.9139395
3.59654395,0.9139395
3.64649594,0.9139395
3.69644794,0.9139395
3.74639994,0.9139395
3.79635194,0.9139395
3.84630394,0.9139395
3.89625594,0.8953002
3.94620794,0.9139395
3.99615994,0.9139395
4.04611194,0.9139395
4.09606394,0.8953002
4.14601594,0.8953002
4.19596794,0.9139395
4.24591994,0.9139395
4.29587194,0.9139395
4.34582393,0.9139395
4.39577593,0.9139395
4.44572793,0.9139395
4.49567993,0.9139395
4.54563193,0.9139395
4.59558393,0.9139395
4.64553593,0.9139395
4.69548793,0.9139395
4.74543993,0.9139395
4.79539193,0.9139395
4.84534393,0.9139395
4.89529593,0.9139395
4.94524793,0.9698573
4.99519992,0.9139395
5.04515192,0.9325787
5.09510392,0.8765994
5.14505592,0.9139395
5.19500792,0.8953002
5.24495992,0.9139395
5.29491192,0.9139395
5.34486392,0.9139395
5.39481592,0.9139395
5.44476792,0.9139395
5.49471992,0.9139395
5.54467192,0.9139395
5.59462392,0.9139395
5.64457591,0.9139395
5.69452791,0.9139395
5.74447991,0.9325787
5.79443191,0.9139395
5.84438391,0.9139395
5.89433591,0.9139395
5.94428791,0.9139395
5.99423991,0.8953002
6.04419191,0.9139395
6.09414391,0.9139395
6.14409591,0.9139395
6.19404791,0.9139395
6.24399991,0.9139395
6.2939519,0.9139395
6.3439039,0.9139395
6.3938559,0.9139395
6.4438079,0.9139395
6.4937599,0.9139395
6.5437119,0.9139395
6.5936639,0.9139395
6.6436159,0.9139395
6.6935679,0.9139395
6.7435199,0.9139395
6.7934719,0.8953002
6.8434239,0.9139395
6.8933759,0.9139395
6.94332789,0.9139395
6.99327989,0.9139395
7.04323189,0.8953002
7.09318389,0.9139395
7.14313589,0.9139395
7.19308789,0.9139395
7.24303989,0.9139395
7.29299189,0.9139395
7.34294389,0.9139395
7.39289589,0.9139395
7.44284789,0.9139395
7.49279989,0.9139395
7.54275189,0.9139395
7.59270389,0.9139395
7.64265588,0.9139395
7.69260788,0.9139395
7.74255988,0.9325787
7.79251188,0.951218
7.84246388,0.9325787
7.89241588,0.8953002
7.94236788,0.9139395
7.99231988,0.9139395
8.04227188,0.9139395
8.09222388,0.9139395
